latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.8734,-69.0821,319.7,1.5,1.2,2009-01-01,1453,Terra,MODIS,73,6.2,296.1,14.4,D,0
4.3381,-69.2678,311.8,1.6,1.2,2009-01-01,1755,Aqua,MODIS,35,6.2,290.3,11,D,0
4.9097,-70.0369,314.6,1.8,1.3,2009-01-01,1755,Aqua,MODIS,60,6.2,288.8,22.3,D,0
4.8504,-69.0894,312.6,1.5,1.2,2009-01-01,1755,Aqua,MODIS,0,6.2,287.1,14.1,D,0
4.526,-69.9321,314.4,1.7,1.3,2009-01-01,1755,Aqua,MODIS,67,6.2,274.5,25.3,D,0
5.6369,-69.1907,332.8,1.5,1.2,2009-01-01,1756,Aqua,MODIS,85,6.2,288.8,44.9,D,0
5.6389,-69.1776,344.3,1.5,1.2,2009-01-01,1756,Aqua,MODIS,87,6.2,292.5,78.3,D,0
11.0838,-72.6818,305.8,1,1,2009-01-02,0319,Terra,MODIS,66,6.2,293.5,5.5,N,0
10.865,-72.9163,323.5,1.1,1,2009-01-02,1535,Terra,MODIS,80,6.2,297.4,15.5,D,0
9.655,-74.9901,333.3,1,1,2009-01-02,1535,Terra,MODIS,84,6.2,299.2,26.2,D,0
10.0378,-73.419,319.8,1.1,1,2009-01-02,1535,Terra,MODIS,67,6.2,302.2,8,D,0
10.8635,-72.9065,314.1,1.1,1,2009-01-02,1535,Terra,MODIS,65,6.2,296.9,5.7,D,0
10.6024,-74.1725,318.9,1,1,2009-01-02,1535,Terra,MODIS,71,6.2,299.1,8.3,D,0
10.0328,-74.0622,315.3,1,1,2009-01-02,1535,Terra,MODIS,51,6.2,299.7,6.2,D,0
5.7518,-69.7916,313.4,2,1.4,2009-01-02,1536,Terra,MODIS,23,6.2,290.9,15.3,D,0
6.1091,-70.0756,312.5,1.9,1.3,2009-01-02,1536,Terra,MODIS,63,6.2,285,18.2,D,0
7.4581,-73.9897,322.9,1.1,1,2009-01-02,1536,Terra,MODIS,78,6.2,297.7,14.1,D,0
6.1166,-70.0861,313.4,1.9,1.3,2009-01-02,1536,Terra,MODIS,65,6.2,284.1,19.8,D,0
