latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.1784,-72.4696,305.2,2.2,1.4,2007-01-01,0252,Terra,MODIS,19,6.2,283.9,19.2,N,0
3.1803,-72.4644,304.6,2.2,1.4,2007-01-01,0252,Terra,MODIS,31,6.2,284.1,17.5,N,0
3.2636,-72.1676,304.3,2.1,1.4,2007-01-01,0252,Terra,MODIS,59,6.2,282.7,18.3,N,0
5.0658,-70.2113,302.2,1.4,1.2,2007-01-01,0252,Terra,MODIS,46,6.2,291.7,5.1,N,0
5.071,-70.2057,305.9,1.4,1.2,2007-01-01,0252,Terra,MODIS,66,6.2,291.6,8.5,N,0
3.1944,-72.4518,305.7,2.2,1.4,2007-01-01,0252,Terra,MODIS,38,6.2,282.8,20.3,N,0
3.2073,-72.4537,305,2.2,1.4,2007-01-01,0252,Terra,MODIS,33,6.2,281,18.9,N,0
3.1913,-72.4716,310.3,2.2,1.4,2007-01-01,0252,Terra,MODIS,73,6.2,284.6,30,N,0
5.3215,-70.1609,305,1.4,1.2,2007-01-01,0252,Terra,MODIS,63,6.2,291.5,8.1,N,0
5.3233,-70.1486,301.6,1.4,1.2,2007-01-01,0252,Terra,MODIS,43,6.2,291.5,5.1,N,0
5.8126,-68.996,310.1,1.2,1.1,2007-01-01,0252,Terra,MODIS,31,6.2,293.9,9.4,N,0
4.5114,-69.6883,300.9,1.3,1.1,2007-01-01,0252,Terra,MODIS,11,6.2,283.8,5.9,N,0
5.8176,-69.0286,311.4,1.2,1.1,2007-01-01,0252,Terra,MODIS,82,6.2,293.8,10.3,N,0
5.854,-68.9811,305.7,1.2,1.1,2007-01-01,0252,Terra,MODIS,38,6.2,293.5,5.4,N,0
3.5964,-72.2234,304.6,2.1,1.4,2007-01-01,0252,Terra,MODIS,61,6.2,278.6,22.7,N,0
5.8525,-68.9914,317.3,1.2,1.1,2007-01-01,0252,Terra,MODIS,95,6.2,293,16.8,N,0
11.0656,-73.4861,313.8,1.7,1.3,2007-01-01,1509,Terra,MODIS,65,6.2,295.9,20.1,D,0
11.064,-73.4735,318.8,1.7,1.3,2007-01-01,1509,Terra,MODIS,73,6.2,298.3,28.9,D,0
10.9727,-73.2942,337.5,1.7,1.3,2007-01-01,1509,Terra,MODIS,89,6.2,297.8,77,D,0
10.9711,-73.2814,317.9,1.7,1.3,2007-01-01,1509,Terra,MODIS,70,6.2,296.7,27,D,0
6.7071,-70.1139,318.5,1,1,2007-01-01,1510,Terra,MODIS,55,6.2,299.7,6.8,D,0
6.7648,-70.2577,320.6,1,1,2007-01-01,1510,Terra,MODIS,70,6.2,302.3,10.3,D,0
5.8512,-68.9981,379,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,303.3,137.6,D,0
5.8028,-68.9839,327.9,1,1,2007-01-01,1511,Terra,MODIS,77,6.2,301.3,14.2,D,0
5.8118,-68.9826,321.1,1,1,2007-01-01,1511,Terra,MODIS,31,6.2,300.9,6.7,D,0
5.8422,-68.9994,360.4,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,303.2,73.7,D,0
5.8435,-69.0084,399.5,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,305.3,239.5,D,0
5.8346,-69.0097,364.3,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,302.1,86.6,D,0
5.8332,-69.0007,332,1,1,2007-01-01,1511,Terra,MODIS,82,6.2,302.3,17.1,D,0
5.8131,-68.9916,325.8,1,1,2007-01-01,1511,Terra,MODIS,65,6.2,302.2,11.3,D,0
4.618,-69.8174,316.6,1,1,2007-01-01,1511,Terra,MODIS,63,6.2,296,6.9,D,0
4.691,-70.1259,325.6,1,1,2007-01-01,1511,Terra,MODIS,77,6.2,297,14.4,D,0
4.134,-71.6004,324.3,1.1,1,2007-01-01,1511,Terra,MODIS,62,6.2,289.4,15.2,D,0
4.1354,-71.61,339.3,1.1,1,2007-01-01,1511,Terra,MODIS,89,6.2,291.7,38,D,0
4.5256,-69.2562,313.7,1,1,2007-01-01,1511,Terra,MODIS,46,6.2,296.9,5.8,D,0
5.7682,-68.9981,333.2,1,1,2007-01-01,1511,Terra,MODIS,83,6.2,300.2,23.9,D,0
5.7696,-69.0071,320.1,1,1,2007-01-01,1511,Terra,MODIS,51,6.2,297.9,8.5,D,0
5.8601,-68.9968,324.3,1,1,2007-01-01,1511,Terra,MODIS,35,6.2,300.3,10.3,D,0
5.7759,-68.9878,354.7,1,1,2007-01-01,1511,Terra,MODIS,97,6.2,301.3,62.6,D,0
3.5795,-72.2166,317.2,1.1,1.1,2007-01-01,1511,Terra,MODIS,68,6.2,297.7,8.5,D,0
5.7772,-68.9968,370.5,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,303.4,108.7,D,0
5.7849,-68.9865,345.6,1,1,2007-01-01,1511,Terra,MODIS,92,6.2,301.7,41.4,D,0
5.7862,-68.9955,343.8,1,1,2007-01-01,1511,Terra,MODIS,91,6.2,302.1,38,D,0
5.7938,-68.9852,327.5,1,1,2007-01-01,1511,Terra,MODIS,72,6.2,301,12.9,D,0
3.5809,-72.2268,318.2,1.1,1.1,2007-01-01,1511,Terra,MODIS,70,6.2,297.9,9.5,D,0
5.8525,-69.0071,361.7,1,1,2007-01-01,1511,Terra,MODIS,100,6.2,300.9,79.5,D,0
4.1447,-71.6087,321.9,1.1,1,2007-01-01,1511,Terra,MODIS,52,6.2,289.4,12.5,D,0
4.5472,-69.4634,313.7,1,1,2007-01-01,1511,Terra,MODIS,52,6.2,296,4.4,D,0
3.1955,-72.4597,342.6,1.3,1.1,2007-01-01,1809,Aqua,MODIS,92,6.2,289.8,58.7,D,0
3.5059,-71.8026,318.7,1.2,1.1,2007-01-01,1809,Aqua,MODIS,43,6.2,296.5,11.1,D,0
3.5346,-71.6038,318.1,1.2,1.1,2007-01-01,1809,Aqua,MODIS,71,6.2,296.9,10.5,D,0
3.2826,-72.8282,320.8,1.4,1.2,2007-01-01,1809,Aqua,MODIS,32,6.2,289.1,18,D,0
2.7177,-72.1646,312.2,1.3,1.1,2007-01-01,1809,Aqua,MODIS,55,6.2,293.2,4.9,D,0
3.2272,-72.6515,311.7,1.4,1.2,2007-01-01,1809,Aqua,MODIS,36,6.2,292.5,8.7,D,0
3.204,-72.4729,357.2,1.3,1.1,2007-01-01,1809,Aqua,MODIS,98,6.2,292.9,105.9,D,0
3.2057,-72.4612,352.1,1.3,1.1,2007-01-01,1809,Aqua,MODIS,96,6.2,293.9,87.3,D,0
3.1938,-72.4714,371.6,1.3,1.1,2007-01-01,1809,Aqua,MODIS,100,6.2,294.4,170.1,D,0
5.8621,-68.991,326.6,1,1,2007-01-01,1810,Aqua,MODIS,67,6.2,303.6,12.8,D,0
5.0235,-67.8834,334.1,1.1,1,2007-01-01,1810,Aqua,MODIS,84,6.2,301.4,25.6,D,0
5.149,-70.6231,324.7,1,1,2007-01-01,1810,Aqua,MODIS,73,6.2,295.9,14.9,D,0
5.1399,-70.6218,319.1,1,1,2007-01-01,1810,Aqua,MODIS,43,6.2,295.6,8.9,D,0
5.1507,-67.8392,327.2,1.1,1,2007-01-01,1810,Aqua,MODIS,0,6.2,299.8,13,D,0
4.8537,-69.862,320.6,1,1,2007-01-01,1810,Aqua,MODIS,68,6.2,294.3,11.8,D,0
4.0637,-76.27,314.6,2.5,1.5,2007-01-01,1810,Aqua,MODIS,69,6.2,294.7,23.4,D,0
4.5242,-69.264,319.6,1,1,2007-01-01,1810,Aqua,MODIS,46,6.2,298.8,9.5,D,0
5.7786,-68.9907,324,1,1,2007-01-01,1810,Aqua,MODIS,52,6.2,297.8,9,D,0
4.722,-68.8478,326.2,1,1,2007-01-01,1810,Aqua,MODIS,60,6.2,291.1,19.5,D,0
5.8519,-68.992,328.2,1,1,2007-01-01,1810,Aqua,MODIS,46,6.2,306.2,13,D,0
5.8493,-69.0101,326.1,1,1,2007-01-01,1810,Aqua,MODIS,52,6.2,300.3,10.9,D,0
4.8627,-69.8633,319.5,1,1,2007-01-01,1810,Aqua,MODIS,52,6.2,295.8,10.7,D,0
4.3989,-70.6532,321,1,1,2007-01-01,1810,Aqua,MODIS,72,6.2,296.4,12.2,D,0
5.8073,-71.9621,318.5,1.1,1.1,2007-01-01,1810,Aqua,MODIS,64,6.2,298.2,9.8,D,0
4.1962,-71.5827,322.2,1.1,1.1,2007-01-01,1810,Aqua,MODIS,46,6.2,294,12,D,0
5.647,-71.1777,318.7,1.1,1,2007-01-01,1810,Aqua,MODIS,54,6.2,297.1,10.4,D,0
4.9052,-70.6504,326.2,1,1,2007-01-01,1810,Aqua,MODIS,78,6.2,295.7,18.3,D,0
4.5536,-68.7377,317.8,1,1,2007-01-01,1810,Aqua,MODIS,58,6.2,298.8,7.5,D,0
4.1259,-70.7569,312.8,1.1,1,2007-01-01,1810,Aqua,MODIS,40,6.2,292.1,4.9,D,0
6.1963,-67.9827,322.5,1.1,1,2007-01-01,1810,Aqua,MODIS,42,6.2,301.8,10.8,D,0
6.9058,-70.5045,320.3,1,1,2007-01-01,1810,Aqua,MODIS,58,6.2,300.8,9,D,0
6.7824,-70.4715,319.2,1,1,2007-01-01,1810,Aqua,MODIS,65,6.2,300.4,6.9,D,0
6.5953,-69.9122,321.3,1,1,2007-01-01,1810,Aqua,MODIS,65,6.2,300.7,9.7,D,0
3.5446,-72.2369,342.1,1.3,1.1,2007-01-01,1810,Aqua,MODIS,91,6.2,296.4,53.3,D,0
3.5545,-72.245,337.9,1.3,1.1,2007-01-01,1810,Aqua,MODIS,83,6.2,296.8,42,D,0
3.5429,-72.2481,343,1.3,1.1,2007-01-01,1810,Aqua,MODIS,87,6.2,296.1,57.3,D,0
5.7998,-68.4548,341.9,1,1,2007-01-01,1810,Aqua,MODIS,89,6.2,303.4,35.4,D,0
3.5445,-72.2435,345.8,1.3,1.1,2007-01-01,1810,Aqua,MODIS,93,6.2,297.2,62.3,D,0
6.5966,-69.9033,318.2,1,1,2007-01-01,1810,Aqua,MODIS,34,6.2,298.4,6.5,D,0
4.7309,-68.5252,321.8,1,1,2007-01-01,1810,Aqua,MODIS,65,6.2,299,10.1,D,0
5.7985,-68.4641,358.4,1,1,2007-01-01,1810,Aqua,MODIS,99,6.2,303.3,72.3,D,0
5.8089,-68.4561,336.6,1,1,2007-01-01,1810,Aqua,MODIS,85,6.2,304,26.1,D,0
5.8076,-68.4654,329.9,1,1,2007-01-01,1810,Aqua,MODIS,77,6.2,305.3,15.7,D,0
5.8181,-68.4574,327.7,1,1,2007-01-01,1810,Aqua,MODIS,74,6.2,304.6,14.9,D,0
5.8167,-68.4667,324.4,1,1,2007-01-01,1810,Aqua,MODIS,44,6.2,304.9,10.4,D,0
4.5425,-69.2733,334.9,1,1,2007-01-01,1810,Aqua,MODIS,87,6.2,298.9,27.6,D,0
4.5438,-69.2644,340.8,1,1,2007-01-01,1810,Aqua,MODIS,90,6.2,299.9,36.9,D,0
4.6364,-69.1923,322.8,1,1,2007-01-01,1810,Aqua,MODIS,72,6.2,300.2,12.8,D,0
6.5821,-70.3929,318,1,1,2007-01-01,1810,Aqua,MODIS,31,6.2,298.5,8.2,D,0
5.7696,-68.9894,347.6,1,1,2007-01-01,1810,Aqua,MODIS,93,6.2,299.7,45,D,0
11.0727,-73.223,309.6,1.2,1.1,2007-01-01,1812,Aqua,MODIS,48,6.2,290.7,8.2,D,0
3.7194,-72.1483,302.1,1.7,1.3,2007-01-02,0335,Terra,MODIS,47,6.2,290.5,7.8,N,0
3.7307,-72.1499,312,1.7,1.3,2007-01-02,0335,Terra,MODIS,84,6.2,290.5,21.5,N,0
3.7308,-72.1404,305.9,1.7,1.3,2007-01-02,0335,Terra,MODIS,66,6.2,290.5,12.5,N,0
3.7289,-72.1553,312.8,1.7,1.3,2007-01-02,0335,Terra,MODIS,86,6.2,290.4,22.9,N,0
5.7682,-68.9906,306.7,3.2,1.7,2007-01-02,0335,Terra,MODIS,69,6.2,292.2,31.6,N,0
5.7996,-68.9713,302.4,3.2,1.7,2007-01-02,0335,Terra,MODIS,7,6.2,292.3,16.9,N,0
11.0868,-72.6747,305.4,2,1.4,2007-01-02,0337,Terra,MODIS,48,6.2,293.9,12.7,N,2
11.0774,-72.6805,305,2,1.4,2007-01-02,0337,Terra,MODIS,51,6.2,293.9,13,N,2
5.8101,-68.8706,303.9,1.4,1.2,2007-01-02,0628,Aqua,MODIS,57,6.2,292.6,6.9,N,0
5.8162,-68.8642,309.1,1.4,1.2,2007-01-02,0628,Aqua,MODIS,76,6.2,292.9,12.3,N,0
5.8234,-71.9222,305.5,1,1,2007-01-02,0628,Aqua,MODIS,64,6.2,292.7,5.5,N,0
5.8247,-71.9313,310.7,1,1,2007-01-02,0628,Aqua,MODIS,81,6.2,293.2,8.8,N,0
5.8581,-68.9966,302,1.4,1.2,2007-01-02,0628,Aqua,MODIS,46,6.2,291.7,6.2,N,0
5.8146,-68.971,317.4,1.4,1.2,2007-01-02,0628,Aqua,MODIS,95,6.2,293.7,21.9,N,0
5.8043,-68.9726,304.9,1.4,1.2,2007-01-02,0628,Aqua,MODIS,54,6.2,293.2,7.4,N,0
5.961,-69.9363,312.3,4.5,2,2007-01-02,1553,Terra,MODIS,49,6.2,292.4,44.8,D,0
6.5351,-69.8861,310.8,4.5,1.9,2007-01-02,1553,Terra,MODIS,63,6.2,293.1,36.2,D,0
6.5361,-69.8789,314.6,4.5,1.9,2007-01-02,1553,Terra,MODIS,70,6.2,293,58.7,D,0
5.96,-69.9418,311.5,4.5,2,2007-01-02,1553,Terra,MODIS,48,6.2,292.4,38.8,D,0
6.4521,-69.8181,311.9,4.5,2,2007-01-02,1553,Terra,MODIS,66,6.2,292.9,47.4,D,0
6.4512,-69.8231,311.3,4.5,2,2007-01-02,1553,Terra,MODIS,65,6.2,292.8,44.2,D,0
3.5544,-72.2297,327.5,3.3,1.7,2007-01-02,1554,Terra,MODIS,82,6.2,295.2,106.2,D,0
3.5663,-72.2224,314.6,3.3,1.7,2007-01-02,1554,Terra,MODIS,53,6.2,294.2,33.1,D,0
3.5449,-72.4665,316,3.2,1.7,2007-01-02,1554,Terra,MODIS,69,6.2,294.7,41.3,D,0
3.6201,-72.4545,311.2,3.2,1.7,2007-01-02,1554,Terra,MODIS,58,6.2,291.4,19.3,D,0
3.6521,-72.5637,315.8,3.1,1.7,2007-01-02,1554,Terra,MODIS,52,6.2,295.3,31,D,0
3.6184,-72.4493,311.2,3.2,1.7,2007-01-02,1554,Terra,MODIS,55,6.2,291,19.4,D,0
3.6511,-72.5584,314.2,3.1,1.7,2007-01-02,1554,Terra,MODIS,66,6.2,295.3,26.4,D,0
3.8514,-71.6888,322.5,3.6,1.8,2007-01-02,1554,Terra,MODIS,77,6.2,292.7,89.9,D,0
3.8564,-71.7206,332.1,3.6,1.8,2007-01-02,1554,Terra,MODIS,85,6.2,293.8,161.4,D,0
3.8445,-71.6842,314.1,3.6,1.8,2007-01-02,1554,Terra,MODIS,64,6.2,292.9,37.5,D,0
3.8497,-71.7161,337.5,3.6,1.8,2007-01-02,1554,Terra,MODIS,89,6.2,293.7,208.9,D,0
5.0181,-69.8575,312,4.8,2,2007-01-02,1554,Terra,MODIS,64,6.2,292.5,44.4,D,0
4.4904,-74.7271,314.1,2,1.4,2007-01-02,1554,Terra,MODIS,59,6.2,296.8,18.8,D,0
4.4669,-72.3183,314,3.1,1.7,2007-01-02,1554,Terra,MODIS,66,6.2,296.2,28.2,D,0
3.1938,-72.5521,323.2,3.2,1.7,2007-01-02,1554,Terra,MODIS,78,6.2,293.3,76.1,D,0
3.198,-72.5803,318.6,3.2,1.7,2007-01-02,1554,Terra,MODIS,73,6.2,293.3,51.9,D,0
3.1917,-72.5457,318.9,3.2,1.7,2007-01-02,1554,Terra,MODIS,73,6.2,292.8,56.9,D,0
3.1962,-72.5739,326.4,3.2,1.7,2007-01-02,1554,Terra,MODIS,81,6.2,293.6,98.7,D,0
2.8749,-72.9526,309.4,3,1.6,2007-01-02,1554,Terra,MODIS,49,6.2,290.2,17.3,D,0
2.8918,-72.8684,319.1,3,1.7,2007-01-02,1554,Terra,MODIS,74,6.2,292.1,55.9,D,0
2.9458,-72.1458,315.5,3.4,1.7,2007-01-02,1554,Terra,MODIS,68,6.2,291.2,49.7,D,0
2.9513,-72.1515,319.7,3.4,1.7,2007-01-02,1554,Terra,MODIS,74,6.2,291.5,68.2,D,0
3.5073,-76.2625,314.3,1.6,1.2,2007-01-02,1554,Terra,MODIS,28,6.2,297.3,12.6,D,0
4.8533,-70.0723,311.9,4.6,2,2007-01-02,1554,Terra,MODIS,63,6.2,291,42.6,D,0
3.6555,-72.5859,312.3,3.1,1.7,2007-01-02,1554,Terra,MODIS,53,6.2,293.7,18.4,D,0
4.9971,-70.7166,312.5,4.1,1.9,2007-01-02,1554,Terra,MODIS,65,6.2,291.8,44.9,D,0
5.0094,-70.7197,310.3,4.1,1.9,2007-01-02,1554,Terra,MODIS,59,6.2,291.5,31.6,D,0
3.7111,-72.1628,314.2,3.3,1.7,2007-01-02,1554,Terra,MODIS,66,6.2,292.6,32.1,D,0
3.7065,-72.1334,320.2,3.4,1.7,2007-01-02,1554,Terra,MODIS,75,6.2,294.4,62.6,D,0
5.3014,-71.0506,316.2,3.8,1.8,2007-01-02,1554,Terra,MODIS,71,6.2,291.7,59.5,D,0
4.0974,-71.0373,309.8,4,1.9,2007-01-02,1554,Terra,MODIS,53,6.2,289.5,31.7,D,0
4.1239,-72.2761,314.9,3.2,1.7,2007-01-02,1554,Terra,MODIS,67,6.2,296,29.9,D,0
4.1217,-72.2525,315.5,3.2,1.7,2007-01-02,1554,Terra,MODIS,68,6.2,295.6,33.3,D,0
5.2745,-70.424,320.1,4.3,1.9,2007-01-02,1554,Terra,MODIS,77,6.2,291.7,99.7,D,0
5.2773,-70.4185,318.5,4.3,1.9,2007-01-02,1554,Terra,MODIS,75,6.2,291.8,87,D,0
3.5391,-72.2321,326.4,3.3,1.7,2007-01-02,1554,Terra,MODIS,81,6.2,293.8,97.8,D,0
