latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.4674,-68.9166,307.6,1.1,1.1,2011-01-01,0310,Terra,MODIS,72,6.2,292.6,7.4,N,0
4.7867,-70.6833,324.3,1,1,2011-01-01,0310,Terra,MODIS,100,6.2,294.1,20.1,N,0
4.0171,-71.3681,305.3,1,1,2011-01-01,0310,Terra,MODIS,62,6.2,293.6,5.3,N,0
5.5126,-68.871,304.3,1.1,1.1,2011-01-01,0310,Terra,MODIS,53,6.2,292.6,4.4,N,0
4.7892,-70.6655,310.4,1,1,2011-01-01,0310,Terra,MODIS,79,6.2,293.2,7.7,N,0
4.7777,-70.682,306.3,1,1,2011-01-01,0310,Terra,MODIS,9,6.2,293.8,4.7,N,0
4.8528,-70.5434,311.9,1,1,2011-01-01,0310,Terra,MODIS,83,6.2,292.9,9.6,N,0
5.0159,-71.9758,308,1,1,2011-01-01,0310,Terra,MODIS,73,6.2,293.7,7.2,N,0
5.4723,-68.9199,305.6,1.2,1.1,2011-01-01,0604,Aqua,MODIS,43,6.2,292.7,6,N,0
5.4627,-68.9212,323.2,1.2,1.1,2011-01-01,0604,Aqua,MODIS,100,6.2,293.3,23.4,N,0
5.4531,-68.9225,308.6,1.2,1.1,2011-01-01,0604,Aqua,MODIS,55,6.2,292.9,8.3,N,0
4.7784,-70.6758,318.4,1.5,1.2,2011-01-01,0605,Aqua,MODIS,97,6.2,292.5,24.5,N,0
4.7845,-70.6808,307.1,1.5,1.2,2011-01-01,0605,Aqua,MODIS,34,6.2,292.3,9.9,N,0
4.7826,-70.6678,316.6,1.5,1.2,2011-01-01,0605,Aqua,MODIS,93,6.2,292.4,22.3,N,0
4.8508,-70.5407,303.1,1.4,1.2,2011-01-01,0605,Aqua,MODIS,43,6.2,291.3,6.8,N,0
4.8471,-70.548,316.8,1.4,1.2,2011-01-01,0605,Aqua,MODIS,94,6.2,291.6,23.2,N,0
4.772,-70.6693,305.1,1.5,1.2,2011-01-01,0605,Aqua,MODIS,63,6.2,292.3,8.5,N,0
4.8365,-70.5494,314.4,1.4,1.2,2011-01-01,0605,Aqua,MODIS,89,6.2,291.5,20.2,N,0
4.7873,-70.6613,302.5,1.5,1.2,2011-01-01,0605,Aqua,MODIS,11,6.2,292,5.6,N,0
4.7766,-70.6628,310.4,1.5,1.2,2011-01-01,0605,Aqua,MODIS,39,6.2,292.3,13,N,0
5.2348,-69.3456,303.4,1.2,1.1,2011-01-01,0605,Aqua,MODIS,55,6.2,292.9,5.1,N,0
7.0828,-70.7534,314.7,1.3,1.1,2011-01-01,1528,Terra,MODIS,53,6.2,300.2,8.3,D,0
4.8308,-70.55,355.9,1.4,1.2,2011-01-01,1529,Terra,MODIS,98,6.2,295.6,110.5,D,0
4.8203,-70.5516,349.3,1.4,1.2,2011-01-01,1529,Terra,MODIS,95,6.2,293.6,86.9,D,0
6.1896,-70.1557,314,1.4,1.2,2011-01-01,1529,Terra,MODIS,55,6.2,298.6,8.1,D,0
4.8098,-70.5532,333.8,1.4,1.2,2011-01-01,1529,Terra,MODIS,86,6.2,289.4,44.7,D,0
3.9584,-71.6752,318.1,1.2,1.1,2011-01-01,1529,Terra,MODIS,69,6.2,299.2,9.9,D,0
3.96,-71.6861,351.3,1.2,1.1,2011-01-01,1529,Terra,MODIS,96,6.2,300.1,76.2,D,0
5.5366,-68.8741,321.6,1.8,1.3,2011-01-01,1529,Terra,MODIS,39,6.2,301,22.6,D,0
4.7107,-70.7133,319.2,1.4,1.2,2011-01-01,1529,Terra,MODIS,73,6.2,300.5,12.9,D,0
4.2867,-70.7442,318.4,1.4,1.2,2011-01-01,1529,Terra,MODIS,72,6.2,298.4,11.5,D,0
5.0106,-71.4565,316,1.2,1.1,2011-01-01,1529,Terra,MODIS,68,6.2,298.3,9.2,D,0
6.183,-70.1502,316.5,1.4,1.2,2011-01-01,1529,Terra,MODIS,64,6.2,299.1,11.8,D,0
5.981,-70.0019,337.5,1.5,1.2,2011-01-01,1529,Terra,MODIS,88,6.2,300.2,54.2,D,0
4.1001,-72.2236,321.2,1.1,1.1,2011-01-01,1529,Terra,MODIS,56,6.2,297.5,11.5,D,0
3.9246,-71.4542,319.2,1.3,1.1,2011-01-01,1529,Terra,MODIS,71,6.2,298.7,13,D,0
5.642,-70.835,316.9,1.3,1.1,2011-01-01,1529,Terra,MODIS,67,6.2,299.5,10.8,D,0
5.561,-69.0068,315.8,1.8,1.3,2011-01-01,1529,Terra,MODIS,66,6.2,299.3,14.4,D,0
4.3172,-70.6636,321.5,1.4,1.2,2011-01-01,1529,Terra,MODIS,76,6.2,299.5,16.7,D,0
4.716,-71.7444,323.4,1.2,1.1,2011-01-01,1529,Terra,MODIS,77,6.2,298.6,17.9,D,0
4.3258,-70.6495,315.9,1.4,1.2,2011-01-01,1529,Terra,MODIS,40,6.2,298.8,7.8,D,0
4.3153,-70.6511,341.8,1.4,1.2,2011-01-01,1529,Terra,MODIS,91,6.2,299.6,61.5,D,0
4.7539,-70.9818,327.5,1.3,1.1,2011-01-01,1529,Terra,MODIS,81,6.2,299.7,26.7,D,0
3.53,-71.4154,312.8,1.3,1.1,2011-01-01,1529,Terra,MODIS,49,6.2,297.7,7.1,D,0
4.1076,-72.2742,315.7,1.1,1.1,2011-01-01,1529,Terra,MODIS,63,6.2,297.5,6.6,D,0
4.7517,-70.9762,328.4,1.3,1.1,2011-01-01,1529,Terra,MODIS,82,6.2,299.4,28.5,D,0
4.7535,-70.988,314.9,1.3,1.1,2011-01-01,1529,Terra,MODIS,65,6.2,299.1,8.3,D,0
5.9775,-70.009,347.8,1.5,1.2,2011-01-01,1529,Terra,MODIS,94,6.2,300.2,86.6,D,0
6.6132,-70.2331,318,1.4,1.2,2011-01-01,1529,Terra,MODIS,69,6.2,297.3,14.8,D,0
6.6113,-70.2208,318.2,1.4,1.2,2011-01-01,1529,Terra,MODIS,69,6.2,297.9,14.3,D,0
5.0202,-68.2822,316,2.1,1.4,2011-01-01,1529,Terra,MODIS,16,6.2,297.2,17.6,D,0
3.5047,-71.3839,312.5,1.3,1.1,2011-01-01,1529,Terra,MODIS,60,6.2,296.8,7.1,D,0
6.5657,-70.2023,317.5,1.4,1.2,2011-01-01,1529,Terra,MODIS,68,6.2,298.5,13.8,D,0
6.5583,-70.1971,314.5,1.4,1.2,2011-01-01,1529,Terra,MODIS,57,6.2,298.3,9.4,D,0
5.598,-69.6261,314.6,1.6,1.2,2011-01-01,1529,Terra,MODIS,61,6.2,298.4,10.7,D,0
5.1155,-68.464,316,2,1.4,2011-01-01,1529,Terra,MODIS,34,6.2,297.2,14.8,D,0
4.5418,-70.6755,315.8,1.4,1.2,2011-01-01,1529,Terra,MODIS,51,6.2,299.7,8.2,D,0
4.43,-69.0568,313.6,1.8,1.3,2011-01-01,1529,Terra,MODIS,59,6.2,295.8,16,D,0
4.7522,-70.9701,315.4,1.3,1.1,2011-01-01,1529,Terra,MODIS,57,6.2,298.8,7.9,D,0
4.6531,-68.7138,319.7,1.9,1.4,2011-01-01,1529,Terra,MODIS,71,6.2,294.6,31.3,D,0
4.6505,-68.6966,314.3,1.9,1.4,2011-01-01,1529,Terra,MODIS,68,6.2,294.8,19.6,D,0
4.8176,-69.7131,312.7,1.6,1.2,2011-01-01,1529,Terra,MODIS,61,6.2,282.5,13.6,D,0
3.9229,-71.4429,314.5,1.3,1.1,2011-01-01,1529,Terra,MODIS,60,6.2,298.3,7.1,D,0
3.5302,-71.6905,323.4,1.2,1.1,2011-01-01,1529,Terra,MODIS,78,6.2,299,18.6,D,0
4.5734,-68.6021,315.5,2,1.4,2011-01-01,1529,Terra,MODIS,53,6.2,294.5,19.7,D,0
3.9129,-71.4444,316.3,1.3,1.1,2011-01-01,1529,Terra,MODIS,54,6.2,298.1,8.6,D,0
