latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.1624,-69.6627,311.1,2.9,1.6,2008-01-01,1440,Terra,MODIS,57,6.2,297.8,22.1,D,0
5.5944,-69.722,317.5,2.9,1.6,2008-01-01,1440,Terra,MODIS,71,6.2,299.5,39.2,D,0
5.591,-69.6961,332.7,2.9,1.6,2008-01-01,1440,Terra,MODIS,86,6.2,299.7,118.8,D,0
6.075,-69.1168,315.9,2.6,1.6,2008-01-01,1440,Terra,MODIS,69,6.2,298.6,32.8,D,0
5.9212,-68.5513,313.4,2.4,1.5,2008-01-01,1440,Terra,MODIS,64,6.2,298,19.7,D,0
5.0324,-70.9281,310.3,3.5,1.8,2008-01-01,1440,Terra,MODIS,45,6.2,296,28.3,D,0
5.0417,-70.921,309.5,3.5,1.8,2008-01-01,1440,Terra,MODIS,37,6.2,296,27.5,D,0
5.5892,-69.7022,325,2.9,1.6,2008-01-01,1440,Terra,MODIS,80,6.2,299.6,72.1,D,0
5.9241,-68.5726,333.6,2.4,1.5,2008-01-01,1440,Terra,MODIS,86,6.2,298.3,96.8,D,0
5.9108,-68.5743,311.4,2.4,1.5,2008-01-01,1440,Terra,MODIS,58,6.2,297.8,14.3,D,0
3.7491,-71.2452,311.3,3.6,1.8,2008-01-01,1441,Terra,MODIS,60,6.2,292.9,30.8,D,0
3.7401,-71.2523,311.9,3.6,1.8,2008-01-01,1441,Terra,MODIS,62,6.2,292.8,35.9,D,0
3.0213,-71.9693,311.9,4.8,2,2008-01-01,1738,Aqua,MODIS,56,6.2,290.1,56.8,D,0
4.3602,-68.9953,308.8,2.6,1.6,2008-01-01,1738,Aqua,MODIS,39,6.2,293.9,20.2,D,0
4.3555,-68.9899,310.6,2.6,1.6,2008-01-01,1738,Aqua,MODIS,34,6.2,295.3,25.6,D,0
5.8542,-68.6028,342.1,2.3,1.5,2008-01-01,1739,Aqua,MODIS,91,6.2,296.9,132.9,D,0
5.8802,-68.5908,322.5,2.3,1.5,2008-01-01,1739,Aqua,MODIS,49,6.2,295.6,42.8,D,0
4.4098,-69.7282,313.4,3,1.7,2008-01-01,1739,Aqua,MODIS,43,6.2,294.7,38.9,D,0
4.4095,-69.7327,317.9,3,1.7,2008-01-01,1739,Aqua,MODIS,0,6.2,295,54.5,D,0
4.5356,-69.8982,314.8,3.1,1.7,2008-01-01,1739,Aqua,MODIS,56,6.2,297.8,38.6,D,0
5.6692,-70.2419,315,3.1,1.7,2008-01-01,1739,Aqua,MODIS,59,6.2,296.8,36.9,D,0
5.6887,-70.2164,317.7,3.1,1.7,2008-01-01,1739,Aqua,MODIS,65,6.2,298.2,50.5,D,0
5.8836,-68.5864,321,2.3,1.5,2008-01-01,1739,Aqua,MODIS,69,6.2,294,41.6,D,0
5.8673,-68.6049,331.8,2.3,1.5,2008-01-01,1739,Aqua,MODIS,70,6.2,300.2,79.7,D,0
5.8378,-68.6215,314.3,2.3,1.5,2008-01-01,1739,Aqua,MODIS,40,6.2,288.9,20.9,D,0
