latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.0013,-74.2194,321.1,2.3,1.5,2004-01-01,1600,Terra,MODIS,75,6.2,301.2,45.2,D,0
5.7714,-67.7853,315.4,4.5,2,2004-01-01,1719,Aqua,MODIS,73,6.2,287.4,56.3,D,0
6.0097,-67.8785,316.6,4.6,2,2004-01-01,1719,Aqua,MODIS,74,6.2,289,67.3,D,0
6.0031,-67.9192,320,4.6,2,2004-01-01,1719,Aqua,MODIS,78,6.2,288.6,97.6,D,0
5.7781,-67.7453,322.4,4.5,2,2004-01-01,1719,Aqua,MODIS,80,6.2,287,116.8,D,0
5.7775,-67.7406,320.9,4.5,2,2004-01-01,1719,Aqua,MODIS,79,6.2,287.2,103.6,D,0
6.0036,-67.9264,316.2,4.6,2,2004-01-01,1719,Aqua,MODIS,73,6.2,288.3,66.2,D,0
5.7711,-67.7806,318.1,4.5,2,2004-01-01,1719,Aqua,MODIS,76,6.2,287.4,77.2,D,0
6.0106,-67.8857,319.7,4.6,2,2004-01-01,1719,Aqua,MODIS,77,6.2,289.1,93.4,D,0
5.1266,-70.4573,302.2,1.8,1.3,2004-01-02,0247,Terra,MODIS,38,6.2,290.5,7.7,N,0
5.1211,-70.5746,304.2,1.9,1.3,2004-01-02,0247,Terra,MODIS,59,6.2,290.6,11.8,N,0
4.8321,-68.9947,304.8,1.4,1.2,2004-01-02,0247,Terra,MODIS,62,6.2,291.1,7.8,N,0
6.0991,-68.3284,303.8,1.3,1.1,2004-01-02,0247,Terra,MODIS,57,6.2,288.7,7.3,N,0
5.1148,-70.4555,303.4,1.8,1.3,2004-01-02,0247,Terra,MODIS,55,6.2,290.6,9.6,N,0
5.1123,-70.4718,314.6,1.8,1.3,2004-01-02,0247,Terra,MODIS,89,6.2,290.8,28.3,N,0
5.1241,-70.4736,315.7,1.8,1.3,2004-01-02,0247,Terra,MODIS,92,6.2,290.6,30.4,N,0
4.826,-69.0012,304.9,1.4,1.2,2004-01-02,0247,Terra,MODIS,62,6.2,290.8,7.6,N,0
10.8851,-73.2684,314.8,2.1,1.4,2004-01-02,1504,Terra,MODIS,59,6.2,295.3,23.9,D,0
6.66,-70.0295,312.2,1.1,1.1,2004-01-02,1505,Terra,MODIS,37,6.2,288.2,7.5,D,0
6.066,-70.584,337.8,1.2,1.1,2004-01-02,1506,Terra,MODIS,89,6.2,294.5,40.8,D,0
6.0563,-70.5853,322.1,1.2,1.1,2004-01-02,1506,Terra,MODIS,77,6.2,292.6,16.6,D,0
6.0803,-67.5145,319.8,1,1,2004-01-02,1506,Terra,MODIS,74,6.2,293.1,8.8,D,0
3.6073,-71.3848,313.7,1.4,1.2,2004-01-02,1801,Aqua,MODIS,44,6.2,291.2,9.6,D,0
5.734,-68.8856,393.5,1,1,2004-01-02,1801,Aqua,MODIS,100,6.2,300.8,210.2,D,0
5.7443,-68.8779,338.9,1,1,2004-01-02,1801,Aqua,MODIS,83,6.2,299.2,29.6,D,0
5.743,-68.8869,350,1,1,2004-01-02,1801,Aqua,MODIS,95,6.2,299.7,51.5,D,0
5.7327,-68.8946,366.1,1,1,2004-01-02,1801,Aqua,MODIS,100,6.2,298.4,96.3,D,0
3.9695,-71.2236,319.9,1.3,1.1,2004-01-02,1801,Aqua,MODIS,68,6.2,294.4,15.3,D,0
3.9691,-71.218,317.2,1.3,1.1,2004-01-02,1801,Aqua,MODIS,51,6.2,294.7,11.2,D,0
4.4606,-70.3733,319.9,1.2,1.1,2004-01-02,1801,Aqua,MODIS,65,6.2,287.1,18.5,D,0
4.4653,-70.3699,313.1,1.2,1.1,2004-01-02,1801,Aqua,MODIS,0,6.2,286.2,12,D,0
5.3999,-69.7216,321.7,1.1,1,2004-01-02,1801,Aqua,MODIS,66,6.2,293.6,17,D,0
4.3455,-71.3708,322.7,1.3,1.1,2004-01-02,1801,Aqua,MODIS,75,6.2,293.1,21.8,D,0
4.582,-69.5855,313,1.1,1,2004-01-02,1801,Aqua,MODIS,57,6.2,289,6.5,D,0
6.0602,-67.5105,324.4,1,1,2004-01-02,1801,Aqua,MODIS,44,6.2,297.2,12.3,D,0
4.1655,-71.3439,315.1,1.3,1.1,2004-01-02,1801,Aqua,MODIS,61,6.2,292.7,8.6,D,0
4.7809,-71.128,348.9,1.3,1.1,2004-01-02,1801,Aqua,MODIS,95,6.2,296.6,72.9,D,0
4.7825,-71.1167,331.6,1.3,1.1,2004-01-02,1801,Aqua,MODIS,85,6.2,296.6,31.2,D,0
4.7709,-71.1265,348,1.3,1.1,2004-01-02,1801,Aqua,MODIS,94,6.2,295.6,72.1,D,0
4.7725,-71.1152,322.5,1.3,1.1,2004-01-02,1801,Aqua,MODIS,77,6.2,295.2,17.4,D,0
4.1637,-71.3558,320.9,1.3,1.1,2004-01-02,1801,Aqua,MODIS,75,6.2,294.5,17.3,D,0
6.099,-69.675,310.9,1.1,1,2004-01-02,1802,Aqua,MODIS,31,6.2,290.9,4.7,D,0
9.062,-73.6913,317.2,1.6,1.3,2004-01-02,1802,Aqua,MODIS,66,6.2,299.9,14.8,D,0
5.8104,-71.4259,319.9,1.3,1.1,2004-01-02,1802,Aqua,MODIS,76,6.2,296.7,17.3,D,0
6.0976,-69.6844,314.5,1.1,1,2004-01-02,1802,Aqua,MODIS,60,6.2,291.1,7.9,D,0
9.874,-75.0953,314.7,2,1.4,2004-01-02,1803,Aqua,MODIS,55,6.2,298,19.2,D,0
10.4863,-73.2883,326,1.5,1.2,2004-01-02,1803,Aqua,MODIS,80,6.2,302.9,25.2,D,0
9.7081,-73.3818,318.1,1.5,1.2,2004-01-02,1803,Aqua,MODIS,59,6.2,300.4,12.3,D,0
10.4842,-73.3013,316,1.5,1.2,2004-01-02,1803,Aqua,MODIS,37,6.2,302.1,9.1,D,0
5.0179,-69.0152,301.1,2.4,1.5,2004-01-03,0330,Terra,MODIS,35,6.2,288.1,11.5,N,0
4.8974,-75.8765,334.6,1,1,2004-01-03,0330,Terra,MODIS,100,6.2,290.2,35.8,N,0
3.641,-76.4255,311.3,1,1,2004-01-03,0330,Terra,MODIS,82,6.2,289.9,10.4,N,0
3.6397,-76.4346,312.4,1,1,2004-01-03,0330,Terra,MODIS,85,6.2,290.2,11.1,N,0
4.8987,-75.8676,304,1,1,2004-01-03,0330,Terra,MODIS,52,6.2,286.9,6.2,N,0
