latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.2858,-72.1705,306.1,1.3,1.1,2002-01-01,0307,Terra,MODIS,62,6.2,292.6,7.7,N,0
3.2871,-72.165,308.1,1.3,1.1,2002-01-01,0307,Terra,MODIS,44,6.2,293,9.1,N,0
3.0935,-72.017,308,1.2,1.1,2002-01-01,0307,Terra,MODIS,73,6.2,292.4,9.8,N,0
5.5876,-69.501,339,1,1,2002-01-01,0308,Terra,MODIS,100,6.2,279.7,42.5,N,0
5.5965,-69.5023,300,1,1,2002-01-01,0308,Terra,MODIS,5,6.2,277.5,4,N,0
4.0479,-71.5765,312.1,1.1,1,2002-01-01,1526,Terra,MODIS,57,6.2,299.1,4.7,D,0
4.7068,-70.1525,325.9,1.2,1.1,2002-01-01,1526,Terra,MODIS,79,6.2,301.2,20.6,D,0
6.2527,-69.9501,310.8,1.2,1.1,2002-01-01,1526,Terra,MODIS,44,6.2,297.9,5.4,D,0
5.2463,-71.58,316.1,1,1,2002-01-01,1526,Terra,MODIS,67,6.2,300.8,8.2,D,0
4.7258,-69.4046,318.9,1.3,1.1,2002-01-01,1526,Terra,MODIS,72,6.2,301.4,14.5,D,0
5.9217,-70.0671,320.2,1.2,1.1,2002-01-01,1526,Terra,MODIS,72,6.2,302.1,12.5,D,0
5.6972,-72.26,308.4,1,1,2002-01-01,1526,Terra,MODIS,45,6.2,297.1,4.2,D,0
4.1682,-70.3948,313.7,1.2,1.1,2002-01-01,1526,Terra,MODIS,65,6.2,298.9,8.2,D,0
3.9489,-71.2299,320.7,1.1,1,2002-01-01,1526,Terra,MODIS,75,6.2,302.5,11.7,D,0
5.6688,-69.6169,351.6,1.3,1.1,2002-01-01,1526,Terra,MODIS,96,6.2,303.5,81.4,D,0
5.6705,-69.6281,334.8,1.3,1.1,2002-01-01,1526,Terra,MODIS,87,6.2,302.3,38.5,D,0
4.7024,-70.1376,337.5,1.2,1.1,2002-01-01,1526,Terra,MODIS,89,6.2,301.2,41.9,D,0
4.8998,-69.2682,319.6,1.4,1.2,2002-01-01,1526,Terra,MODIS,73,6.2,301.8,16.2,D,0
5.6788,-69.6154,323.3,1.3,1.1,2002-01-01,1526,Terra,MODIS,77,6.2,303.3,19.4,D,0
4.6926,-70.139,320.7,1.2,1.1,2002-01-01,1526,Terra,MODIS,72,6.2,300.6,15.1,D,0
4.7556,-68.7803,326.3,1.5,1.2,2002-01-01,1526,Terra,MODIS,81,6.2,288.5,39.8,D,0
5.5254,-70.9151,310.1,1.1,1,2002-01-01,1526,Terra,MODIS,34,6.2,297.7,4.7,D,0
5.9233,-70.0777,346.6,1.2,1.1,2002-01-01,1526,Terra,MODIS,93,6.2,303.5,60.7,D,0
6.1067,-69.8088,310.4,1.2,1.1,2002-01-01,1526,Terra,MODIS,28,6.2,292.7,6.4,D,0
4.7052,-70.1417,338.8,1.2,1.1,2002-01-01,1526,Terra,MODIS,89,6.2,301.6,44.5,D,0
5.6836,-69.5801,342.8,1.3,1.1,2002-01-01,1526,Terra,MODIS,92,6.2,301.2,57,D,0
6.1165,-69.8074,344.3,1.2,1.1,2002-01-01,1526,Terra,MODIS,92,6.2,290.8,61,D,0
5.6919,-69.5673,373,1.3,1.1,2002-01-01,1526,Terra,MODIS,100,6.2,300.9,168.5,D,0
5.6936,-69.5786,344.5,1.3,1.1,2002-01-01,1526,Terra,MODIS,93,6.2,300.3,61,D,0
3.8771,-71.0464,314.1,1.1,1.1,2002-01-01,1526,Terra,MODIS,66,6.2,296.7,7.9,D,0
4.267,-70.7024,319,1.1,1.1,2002-01-01,1526,Terra,MODIS,63,6.2,289.9,16.8,D,0
5.7002,-69.5545,327.7,1.3,1.1,2002-01-01,1526,Terra,MODIS,79,6.2,296.2,24.7,D,0
5.7019,-69.5658,386.9,1.3,1.1,2002-01-01,1526,Terra,MODIS,100,6.2,302.4,249,D,0
5.7036,-69.5771,327.9,1.3,1.1,2002-01-01,1526,Terra,MODIS,82,6.2,298,25.5,D,0
5.7102,-69.553,330.1,1.3,1.1,2002-01-01,1526,Terra,MODIS,83,6.2,295.3,30.9,D,0
5.7119,-69.5643,332.2,1.3,1.1,2002-01-01,1526,Terra,MODIS,85,6.2,296.8,34.6,D,0
4.9543,-72.7227,312.9,1,1,2002-01-01,1526,Terra,MODIS,60,6.2,300.4,4.8,D,0
4.9016,-69.2803,317.8,1.4,1.2,2002-01-01,1526,Terra,MODIS,71,6.2,301.2,13.6,D,0
5.1673,-71.4167,315,1.1,1,2002-01-01,1526,Terra,MODIS,63,6.2,302.2,7.1,D,0
6.1052,-71.2218,314.9,1.1,1,2002-01-01,1526,Terra,MODIS,64,6.2,302,6.9,D,0
4.724,-69.3927,336.9,1.3,1.1,2002-01-01,1526,Terra,MODIS,88,6.2,302.1,48.5,D,0
4.704,-70.1483,341,1.2,1.1,2002-01-01,1526,Terra,MODIS,91,6.2,302.4,49.2,D,0
5.4549,-70.3119,315.5,1.2,1.1,2002-01-01,1526,Terra,MODIS,63,6.2,302.3,9.2,D,0
5.4534,-70.3015,347.7,1.2,1.1,2002-01-01,1526,Terra,MODIS,94,6.2,302.9,63.8,D,0
5.4453,-70.3133,337,1.2,1.1,2002-01-01,1526,Terra,MODIS,88,6.2,302,39.1,D,0
5.4519,-70.2911,333.1,1.2,1.1,2002-01-01,1526,Terra,MODIS,85,6.2,301.8,33,D,0
5.4438,-70.3029,327.4,1.2,1.1,2002-01-01,1526,Terra,MODIS,80,6.2,301.4,22.9,D,0
5.9631,-69.6683,313.9,1.2,1.1,2002-01-01,1526,Terra,MODIS,50,6.2,300.4,5.6,D,0
3.9582,-71.2285,319.5,1.1,1,2002-01-01,1526,Terra,MODIS,73,6.2,302.9,10.2,D,0
6.5742,-70.244,337.7,1.1,1.1,2002-01-01,1526,Terra,MODIS,88,6.2,302.4,39.6,D,0
3.7369,-72.0906,314.5,1,1,2002-01-01,1527,Terra,MODIS,62,6.2,300,7.2,D,0
3.6559,-72.6033,313.1,1,1,2002-01-01,1527,Terra,MODIS,57,6.2,298.9,4.2,D,0
3.3044,-72.1558,327.5,1,1,2002-01-01,1527,Terra,MODIS,58,6.2,298.6,17.1,D,0
3.0164,-72.327,312.6,1,1,2002-01-01,1527,Terra,MODIS,59,6.2,298.5,4.8,D,0
2.7318,-72.021,324.6,1,1,2002-01-01,1527,Terra,MODIS,79,6.2,301.7,15.5,D,0
3.5748,-71.3646,323.6,1.1,1,2002-01-01,1527,Terra,MODIS,79,6.2,301.8,16.9,D,0
3.4924,-71.5585,348,1.1,1,2002-01-01,1527,Terra,MODIS,94,6.2,302.3,56.1,D,0
3.491,-71.549,342,1.1,1,2002-01-01,1527,Terra,MODIS,91,6.2,302.1,43.7,D,0
1.712,-74.1697,320,1,1,2002-01-01,1527,Terra,MODIS,73,6.2,299.5,12,D,0
3.4832,-71.5598,322.4,1.1,1,2002-01-01,1527,Terra,MODIS,77,6.2,300.5,15.3,D,0
3.4818,-71.5503,346.3,1.1,1,2002-01-01,1527,Terra,MODIS,94,6.2,301.5,53.6,D,0
3.1801,-72.7483,311.8,1,1,2002-01-01,1527,Terra,MODIS,50,6.2,294.8,4.9,D,0
3.6326,-71.3892,323.7,1.1,1,2002-01-01,1527,Terra,MODIS,78,6.2,304,14.8,D,0
1.7107,-74.1607,313.9,1,1,2002-01-01,1527,Terra,MODIS,63,6.2,299.3,6.3,D,0
2.8591,-72.6359,341.2,1,1,2002-01-01,1527,Terra,MODIS,91,6.2,302.6,40,D,0
2.8605,-72.6449,323.9,1,1,2002-01-01,1527,Terra,MODIS,78,6.2,302,15.4,D,0
3.1209,-72.4726,327,1,1,2002-01-01,1527,Terra,MODIS,81,6.2,300.9,17.3,D,0
2.1086,-73.9239,315,1,1,2002-01-01,1527,Terra,MODIS,66,6.2,299.5,7.2,D,0
3.6341,-71.3988,350.9,1.1,1,2002-01-01,1527,Terra,MODIS,96,6.2,304.8,62.5,D,0
1.1797,-74.2458,313.1,1,1,2002-01-01,1527,Terra,MODIS,60,6.2,299.2,5.2,D,0
3.0217,-72.7376,318.1,1,1,2002-01-01,1527,Terra,MODIS,70,6.2,300.8,8.6,D,0
3.1125,-72.4797,320.3,1,1,2002-01-01,1527,Terra,MODIS,73,6.2,298.6,12.1,D,0
3.1112,-72.4707,320.9,1,1,2002-01-01,1527,Terra,MODIS,74,6.2,298.3,12.6,D,0
4.7541,-69.4207,314.6,4.6,2,2002-01-02,1431,Terra,MODIS,67,6.2,296.1,66.1,D,0
4.7718,-69.4185,313.2,4.6,2,2002-01-02,1431,Terra,MODIS,63,6.2,296.2,55.8,D,0
4.771,-69.4106,316.1,4.6,2,2002-01-02,1431,Terra,MODIS,69,6.2,296.4,77.3,D,0
4.7533,-69.4129,316.4,4.6,2,2002-01-02,1431,Terra,MODIS,70,6.2,296.2,78.5,D,0
11.0876,-72.6679,312.1,3.9,1.8,2002-01-02,1607,Terra,MODIS,40,6.2,296.9,35.8,D,2
1.8596,-74.2377,309,4.3,1.9,2002-01-02,1610,Terra,MODIS,63,6.2,293,34.1,D,0
1.8625,-74.2319,310,4.3,1.9,2002-01-02,1610,Terra,MODIS,65,6.2,293.2,39.7,D,0
3.3231,-72.1321,321.5,2.1,1.4,2002-01-03,0255,Terra,MODIS,100,6.2,293.7,53.4,N,0
5.1341,-69.9628,303.1,1.3,1.2,2002-01-03,0255,Terra,MODIS,52,6.2,293.1,5.5,N,0
3.3203,-72.1506,310.9,2.1,1.4,2002-01-03,0255,Terra,MODIS,81,6.2,293.1,26.5,N,0
3.1023,-72.1252,303.9,2.1,1.4,2002-01-03,0255,Terra,MODIS,58,6.2,293.3,13.9,N,0
3.3356,-72.1339,304.6,2.1,1.4,2002-01-03,0255,Terra,MODIS,61,6.2,292.7,16,N,0
3.0994,-72.1439,306,2.1,1.4,2002-01-03,0255,Terra,MODIS,67,6.2,293.5,17.9,N,0
6.1245,-68.4566,316.1,1,1,2002-01-03,1513,Terra,MODIS,51,6.2,303.6,7,D,0
6.4427,-69.803,313.7,1,1,2002-01-03,1513,Terra,MODIS,52,6.2,301.6,5.3,D,0
6.5732,-72.1643,324,1.2,1.1,2002-01-03,1513,Terra,MODIS,78,6.2,293.9,24.2,D,0
6.562,-72.1555,314.6,1.2,1.1,2002-01-03,1513,Terra,MODIS,38,6.2,294.2,11.9,D,0
6.5633,-72.1651,318,1.2,1.1,2002-01-03,1513,Terra,MODIS,59,6.2,292.6,16,D,0
6.2418,-69.6887,316.4,1,1,2002-01-03,1513,Terra,MODIS,61,6.2,301.7,6.9,D,0
6.1154,-68.4579,328.6,1,1,2002-01-03,1513,Terra,MODIS,80,6.2,303.4,19.7,D,0
6.3549,-70.5327,313.2,1,1,2002-01-03,1513,Terra,MODIS,54,6.2,300.9,4.8,D,0
6.1141,-68.4487,334.4,1,1,2002-01-03,1513,Terra,MODIS,85,6.2,303.6,27.7,D,0
6.0553,-67.7495,320.1,1.1,1,2002-01-03,1513,Terra,MODIS,71,6.2,304,9.4,D,0
3.6792,-71.4453,314.6,1.1,1,2002-01-03,1514,Terra,MODIS,61,6.2,301.4,6.6,D,0
4.0435,-70.7225,314.4,1,1,2002-01-03,1514,Terra,MODIS,59,6.2,301.3,5,D,0
4.1415,-70.3835,315.7,1,1,2002-01-03,1514,Terra,MODIS,63,6.2,300.7,5.8,D,0
4.2177,-70.2749,314.7,1,1,2002-01-03,1514,Terra,MODIS,61,6.2,301.2,4.9,D,0
4.219,-70.2839,319,1,1,2002-01-03,1514,Terra,MODIS,70,6.2,301.2,8.6,D,0
2.9007,-72.6247,324.2,1.2,1.1,2002-01-03,1514,Terra,MODIS,77,6.2,299.1,19,D,0
4.1721,-71.0999,320.3,1,1,2002-01-03,1514,Terra,MODIS,70,6.2,301.5,10.1,D,0
5.9263,-73.0735,318.3,1.4,1.2,2002-01-03,1514,Terra,MODIS,74,6.2,299.5,19,D,0
