latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.9826,-71.2108,307.3,3.9,1.8,2001-01-01,1607,Terra,MODIS,42,6.2,289.3,27.5,D,0
3.9763,-71.217,310.1,3.9,1.8,2001-01-01,1607,Terra,MODIS,61,6.2,289.2,42.6,D,0
3.9949,-71.7582,311.8,3.6,1.8,2001-01-01,1607,Terra,MODIS,65,6.2,289.2,41.3,D,0
3.9402,-72.0882,317.7,3.4,1.7,2001-01-01,1607,Terra,MODIS,74,6.2,291.3,60.5,D,0
3.9355,-72.0583,314.5,3.4,1.7,2001-01-01,1607,Terra,MODIS,70,6.2,293,44.8,D,0
3.9289,-72.0952,314.3,3.4,1.7,2001-01-01,1607,Terra,MODIS,44,6.2,291.8,38.5,D,0
3.9244,-72.0655,318.8,3.4,1.7,2001-01-01,1607,Terra,MODIS,71,6.2,293.2,60.9,D,0
3.5683,-73.2081,313.2,2.8,1.6,2001-01-01,1607,Terra,MODIS,70,6.2,291.9,32.5,D,0
3.376,-72.0884,340.5,3.4,1.7,2001-01-01,1607,Terra,MODIS,91,6.2,292,234.8,D,0
3.3711,-72.0578,316.8,3.5,1.8,2001-01-01,1607,Terra,MODIS,75,6.2,291,57.9,D,0
3.5649,-73.2141,312,2.8,1.6,2001-01-01,1607,Terra,MODIS,58,6.2,292.2,26.6,D,0
3.3809,-72.093,319.8,3.4,1.7,2001-01-01,1607,Terra,MODIS,78,6.2,291.7,70.6,D,0
3.3762,-72.0624,317.2,3.5,1.8,2001-01-01,1607,Terra,MODIS,75,6.2,291.3,58,D,0
3.3653,-72.0953,325.8,3.4,1.7,2001-01-01,1607,Terra,MODIS,83,6.2,290.8,107.4,D,0
3.3606,-72.0647,317.2,3.5,1.8,2001-01-01,1607,Terra,MODIS,65,6.2,290.5,56.4,D,0
4.3365,-71.0547,315.8,2.9,1.6,2001-01-02,0252,Terra,MODIS,92,6.2,290.5,61.6,N,0
4.3509,-71.0569,307.2,2.9,1.6,2001-01-02,0252,Terra,MODIS,71,6.2,290.3,32.9,N,0
5.0947,-69.2811,316.5,2,1.4,2001-01-02,0253,Terra,MODIS,93,6.2,292.6,37.7,N,0
5.1071,-69.283,326.4,2,1.4,2001-01-02,0253,Terra,MODIS,100,6.2,292.6,65.8,N,0
5.1194,-69.285,302.9,2,1.4,2001-01-02,0253,Terra,MODIS,52,6.2,292.2,11.1,N,0
5.1121,-69.2718,311.2,2,1.4,2001-01-02,0253,Terra,MODIS,82,6.2,292.2,25.6,N,0
5.1092,-69.2898,312.5,2,1.4,2001-01-02,0253,Terra,MODIS,85,6.2,292.2,28.4,N,0
6.041,-68.5671,304.5,1.7,1.3,2001-01-02,0253,Terra,MODIS,60,6.2,292.7,11.3,N,0
6.0387,-68.5824,327,1.7,1.3,2001-01-02,0253,Terra,MODIS,100,6.2,293.6,54.6,N,0
6.0495,-68.5741,307.5,1.7,1.3,2001-01-02,0253,Terra,MODIS,68,6.2,292.5,14.8,N,0
6.0471,-68.5894,304.2,1.7,1.3,2001-01-02,0253,Terra,MODIS,29,6.2,292.8,10.3,N,0
9.9078,-73.0724,316.5,2.7,1.6,2001-01-02,1510,Terra,MODIS,67,6.2,299.2,44.3,D,0
6.7412,-70.2917,313.5,1.5,1.2,2001-01-02,1511,Terra,MODIS,59,6.2,297.6,10.4,D,0
6.5338,-70.1228,314.4,1.4,1.2,2001-01-02,1511,Terra,MODIS,61,6.2,298.6,10,D,0
6.3898,-70.2917,313.9,1.4,1.2,2001-01-02,1511,Terra,MODIS,61,6.2,298.3,9.6,D,0
6.3881,-70.2787,315.7,1.4,1.2,2001-01-02,1511,Terra,MODIS,66,6.2,298.3,12.3,D,0
6.384,-70.286,332.8,1.4,1.2,2001-01-02,1511,Terra,MODIS,85,6.2,299,44.4,D,0
6.1345,-68.9574,323.3,1.2,1.1,2001-01-02,1511,Terra,MODIS,67,6.2,303,15.2,D,0
6.133,-68.9468,338.1,1.2,1.1,2001-01-02,1511,Terra,MODIS,88,6.2,303.1,39.8,D,0
6.1035,-70.0539,335.1,1.4,1.2,2001-01-02,1511,Terra,MODIS,86,6.2,299.5,47.4,D,0
6.1018,-70.0416,314.1,1.4,1.2,2001-01-02,1511,Terra,MODIS,59,6.2,298.9,9.8,D,0
5.9982,-70.1568,313.2,1.4,1.2,2001-01-02,1511,Terra,MODIS,56,6.2,299,8.2,D,0
6.0202,-70.387,324.9,1.4,1.2,2001-01-02,1511,Terra,MODIS,78,6.2,298.2,28.6,D,0
5.9425,-69.9887,317.3,1.4,1.2,2001-01-02,1511,Terra,MODIS,65,6.2,299.5,12.7,D,0
5.9322,-69.9901,317.8,1.4,1.2,2001-01-02,1511,Terra,MODIS,67,6.2,298.9,13.6,D,0
5.9305,-69.978,313,1.4,1.2,2001-01-02,1511,Terra,MODIS,40,6.2,298.9,7.3,D,0
5.6868,-68.4606,327.3,1.1,1.1,2001-01-02,1511,Terra,MODIS,79,6.2,305.7,17.3,D,0
5.6854,-68.4507,323.6,1.1,1,2001-01-02,1511,Terra,MODIS,71,6.2,304.7,12.1,D,0
5.6573,-68.4304,319,1.1,1,2001-01-02,1511,Terra,MODIS,61,6.2,303.9,8.6,D,0
5.8618,-70.068,315.2,1.4,1.2,2001-01-02,1511,Terra,MODIS,61,6.2,299.3,10.9,D,0
5.6542,-69.3924,320.1,1.2,1.1,2001-01-02,1511,Terra,MODIS,70,6.2,301.7,12.9,D,0
5.6527,-69.3813,321.1,1.2,1.1,2001-01-02,1511,Terra,MODIS,72,6.2,301.6,14.3,D,0
5.4051,-70.391,317.3,1.4,1.2,2001-01-02,1511,Terra,MODIS,64,6.2,298.5,13.4,D,0
5.4033,-70.3783,316.6,1.4,1.2,2001-01-02,1511,Terra,MODIS,59,6.2,298.4,12.4,D,0
5.3984,-70.385,317.3,1.4,1.2,2001-01-02,1511,Terra,MODIS,39,6.2,298.5,12.8,D,0
4.9804,-68.0908,339.5,1.1,1,2001-01-02,1511,Terra,MODIS,89,6.2,303,37.2,D,0
4.9725,-68.0887,317,1.1,1,2001-01-02,1511,Terra,MODIS,56,6.2,302.7,7.2,D,0
5.1056,-69.273,316.5,1.2,1.1,2001-01-02,1511,Terra,MODIS,63,6.2,303,8.7,D,0
5.104,-69.2624,315.9,1.2,1.1,2001-01-02,1511,Terra,MODIS,61,6.2,300.5,7.9,D,0
4.9825,-69.406,325,1.2,1.1,2001-01-02,1511,Terra,MODIS,77,6.2,300.7,19.8,D,0
4.981,-69.3952,326.6,1.2,1.1,2001-01-02,1511,Terra,MODIS,79,6.2,301.1,22.5,D,0
4.9801,-69.4019,330.6,1.2,1.1,2001-01-02,1511,Terra,MODIS,83,6.2,301.2,28,D,0
4.8794,-69.411,325.7,1.2,1.1,2001-01-02,1511,Terra,MODIS,78,6.2,299.9,20.9,D,0
4.8778,-69.4002,331.5,1.2,1.1,2001-01-02,1511,Terra,MODIS,83,6.2,300.8,30.5,D,0
4.6526,-68.5501,316.1,1.1,1,2001-01-02,1511,Terra,MODIS,50,6.2,301.3,8.6,D,0
4.6276,-69.4253,313.8,1.2,1.1,2001-01-02,1511,Terra,MODIS,58,6.2,300,7.2,D,0
4.7929,-70.6891,315.5,1.5,1.2,2001-01-02,1511,Terra,MODIS,64,6.2,297.2,11.9,D,0
4.7911,-70.6761,326.6,1.5,1.2,2001-01-02,1511,Terra,MODIS,80,6.2,297.4,31.4,D,0
4.7982,-70.6818,326.5,1.5,1.2,2001-01-02,1511,Terra,MODIS,80,6.2,298.1,31.1,D,0
4.7963,-70.6688,317.1,1.5,1.2,2001-01-02,1511,Terra,MODIS,67,6.2,297.5,14.6,D,0
4.4969,-69.3795,318.2,1.2,1.1,2001-01-02,1511,Terra,MODIS,69,6.2,299.5,11.2,D,0
4.4046,-69.3773,317.5,1.2,1.1,2001-01-02,1511,Terra,MODIS,69,6.2,298.2,11.8,D,0
4.3902,-69.3468,313.4,1.2,1.1,2001-01-02,1511,Terra,MODIS,51,6.2,298.9,7,D,0
4.6299,-72.232,314.3,1.9,1.3,2001-01-02,1511,Terra,MODIS,33,6.2,296.9,14,D,0
4.6275,-72.2152,314.1,1.9,1.3,2001-01-02,1511,Terra,MODIS,34,6.2,296.5,13.6,D,0
4.6179,-72.2336,317.8,1.9,1.3,2001-01-02,1511,Terra,MODIS,71,6.2,296.8,21.8,D,0
4.6058,-72.2352,336.9,1.9,1.3,2001-01-02,1511,Terra,MODIS,88,6.2,297.4,78.5,D,0
4.2298,-70.077,317.2,1.3,1.1,2001-01-02,1511,Terra,MODIS,69,6.2,296.4,15,D,0
4.2002,-70.3846,313.5,1.4,1.2,2001-01-02,1511,Terra,MODIS,60,6.2,296.9,10,D,0
