latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.5704,-68.6664,306.6,1.1,1.1,2013-01-01,0252,Terra,MODIS,66,6.2,294.6,6.5,N,0
5.8495,-67.7554,307.1,1,1,2013-01-01,0252,Terra,MODIS,64,6.2,295.3,5.4,N,0
3.7652,-72.0769,304.9,2,1.4,2013-01-01,0252,Terra,MODIS,62,6.2,287.7,17.4,N,0
3.768,-72.0589,314.9,2,1.4,2013-01-01,0252,Terra,MODIS,90,6.2,288.6,37.5,N,0
5.241,-68.2689,313.6,1.1,1,2013-01-01,0252,Terra,MODIS,87,6.2,294.3,12.2,N,0
5.3094,-68.2352,305.5,1.1,1,2013-01-01,0252,Terra,MODIS,65,6.2,294.3,5.7,N,0
5.8482,-67.7647,308.5,1,1,2013-01-01,0252,Terra,MODIS,74,6.2,295.4,6.2,N,0
5.8391,-67.7634,309,1,1,2013-01-01,0252,Terra,MODIS,61,6.2,295.7,6.5,N,0
8.2536,-74.1208,301,2.5,1.5,2013-01-01,0253,Terra,MODIS,37,6.2,289.4,14.7,N,0
8.2592,-74.1167,302.7,2.5,1.5,2013-01-01,0253,Terra,MODIS,51,6.2,289.5,17.9,N,0
4.7235,-70.1981,327.3,1,1,2013-01-01,1511,Terra,MODIS,79,6.2,302.4,17,D,0
6.04,-67.7674,325.6,1.1,1,2013-01-01,1511,Terra,MODIS,78,6.2,303.1,14.4,D,0
5.4326,-69.9461,385.1,1,1,2013-01-01,1511,Terra,MODIS,100,6.2,306,167.3,D,0
5.4313,-69.9372,348.4,1,1,2013-01-01,1511,Terra,MODIS,94,6.2,302,49.7,D,0
4.7222,-70.1892,317.3,1,1,2013-01-01,1511,Terra,MODIS,60,6.2,300,6.4,D,0
4.2995,-70.7606,321.8,1,1,2013-01-01,1511,Terra,MODIS,74,6.2,300.8,11.3,D,0
4.3008,-70.7697,315.5,1,1,2013-01-01,1511,Terra,MODIS,62,6.2,299.8,5.2,D,0
4.0325,-70.7613,313.7,1,1,2013-01-01,1511,Terra,MODIS,55,6.2,298.8,5.1,D,0
5.3331,-68.2217,324.7,1.1,1,2013-01-01,1511,Terra,MODIS,45,6.2,303.6,12.1,D,0
4.9112,-69.9062,336.8,1,1,2013-01-01,1511,Terra,MODIS,87,6.2,302.5,28.9,D,0
5.5328,-69.8097,330.6,1,1,2013-01-01,1511,Terra,MODIS,81,6.2,302,21.3,D,0
5.9377,-70.4996,315.1,1,1,2013-01-01,1511,Terra,MODIS,56,6.2,298.1,7.1,D,0
