latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.2006,-69.5191,302.6,2,1.4,2012-01-01,0240,Terra,MODIS,39,6.2,291.9,9.8,N,0
5.0524,-68.7364,304.8,1.8,1.3,2012-01-01,0240,Terra,MODIS,62,6.2,292,11.2,N,0
5.0498,-68.7527,310.3,1.8,1.3,2012-01-01,0240,Terra,MODIS,80,6.2,292.1,20.3,N,0
6.5816,-70.1972,303.2,2.2,1.5,2012-01-01,0240,Terra,MODIS,54,6.2,291.2,14.2,N,0
5.6093,-69.9307,327.4,1.3,1.1,2012-01-01,1458,Terra,MODIS,82,6.2,291.1,31.2,D,0
5.9385,-67.6528,322.8,1,1,2012-01-01,1458,Terra,MODIS,62,6.2,300.9,12,D,0
5.9463,-67.6422,328.9,1,1,2012-01-01,1458,Terra,MODIS,77,6.2,302.5,18.4,D,0
6.0932,-69.9736,315.6,1.4,1.2,2012-01-01,1458,Terra,MODIS,68,6.2,291.5,14,D,0
6.0949,-69.9858,316.8,1.4,1.2,2012-01-01,1458,Terra,MODIS,70,6.2,291.1,15.4,D,0
5.6165,-69.9232,331.4,1.3,1.1,2012-01-01,1458,Terra,MODIS,85,6.2,292.1,39.5,D,0
5.721,-70.5994,312.3,1.5,1.2,2012-01-01,1458,Terra,MODIS,64,6.2,293.2,11.1,D,0
5.6182,-69.9351,317.3,1.3,1.1,2012-01-01,1458,Terra,MODIS,71,6.2,288.1,16.4,D,0
5.996,-70.062,317.2,1.4,1.2,2012-01-01,1458,Terra,MODIS,70,6.2,295,15.3,D,0
5.9372,-67.6435,339.6,1,1,2012-01-01,1458,Terra,MODIS,90,6.2,302.6,34.6,D,0
6.0036,-70.0667,314.3,1.4,1.2,2012-01-01,1458,Terra,MODIS,50,6.2,295.8,9.9,D,0
5.6076,-69.9188,314.8,1.3,1.1,2012-01-01,1458,Terra,MODIS,42,6.2,292.9,11.1,D,0
4.7529,-70.1663,318.6,1.3,1.1,2012-01-01,1459,Terra,MODIS,73,6.2,295.1,15.1,D,0
4.9094,-70.0471,311.3,1.3,1.1,2012-01-01,1459,Terra,MODIS,53,6.2,290.2,7.3,D,0
4.8235,-70.0896,311.8,1.3,1.1,2012-01-01,1459,Terra,MODIS,59,6.2,288.6,8.3,D,0
4.9508,-68.2036,320,1.1,1,2012-01-01,1459,Terra,MODIS,74,6.2,299.8,10.3,D,0
4.2576,-70.6372,310.3,1.4,1.2,2012-01-01,1459,Terra,MODIS,59,6.2,291.3,8.1,D,0
3.7162,-71.9276,318.7,1.7,1.3,2012-01-01,1459,Terra,MODIS,73,6.2,296.3,19,D,0
4.774,-68.3191,314.8,1.1,1,2012-01-01,1459,Terra,MODIS,42,6.2,297,6.2,D,0
4.2035,-70.5999,309,1.4,1.2,2012-01-01,1459,Terra,MODIS,48,6.2,291.9,7.2,D,0
4.8559,-69.0896,327.9,1.2,1.1,2012-01-01,1459,Terra,MODIS,82,6.2,293.7,24.9,D,0
4.7726,-68.3095,318.9,1.1,1,2012-01-01,1459,Terra,MODIS,64,6.2,296.7,10.6,D,0
